processo_id;acao;autor;reu
P-00151;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Oficina Mecânica do Zé
P-00152;Busca e apreensão;Oficina Mecânica do Zé;GlobalTech Corp.
P-00153;Ações hipotecárias;Fernanda Costa;Pedro Henrique Santos
P-00154;Trabalhista;Construtora Nova Era Ltda.;Carlos Souza
P-00155;Execução de título extrajudicial;Fernanda Costa;Oficina Mecânica do Zé
P-00156;Execução de título extrajudicial;Pedro Henrique Santos;Pedro Henrique Santos
P-00157;Ações hipotecárias;Ricardo Almeida;Juliana Rocha
P-00158;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-00159;Inventário e partilha;João da Silva;GlobalTech Corp.
P-00160;Falência e Recuperação Judicial;Estado de Santa Aurora;Maria Oliveira
P-00161;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Pedro Henrique Santos
P-00162;Execução de título extrajudicial;Ricardo Almeida;Instituto Nacional de Energia Renovável
P-00163;Execução de título extrajudicial;Instituto Nacional de Energia Renovável;Ana Paula Lima
P-00164;Execução de alimentos;Instituto Nacional de Energia Renovável;GlobalTech Corp.
P-00165;Trabalhista;Carlos Souza;Instituto Nacional de Energia Renovável
P-00166;Ações hipotecárias;Secretaria de Saúde de Santa Clara;João da Silva
P-00167;Execução de título extrajudicial;GlobalTech Corp.;João da Silva
P-00168;Execução Fiscal;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00169;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Oficina Mecânica do Zé
P-00170;Execução de alimentos;Fernanda Costa;Pedro Henrique Santos
P-00171;Ações hipotecárias;Fernanda Costa;Carlos Souza
P-00172;Execução Cível;GlobalTech Corp.;João da Silva
P-00173;Execução Fiscal;Instituto Nacional de Energia Renovável;Secretaria de Saúde de Santa Clara
P-00174;Execução Cível;João da Silva;João da Silva
P-00175;Busca e apreensão;TechBrasil S.A.;TechBrasil S.A.
P-00176;Busca e apreensão;Fernanda Costa;Secretaria de Saúde de Santa Clara
P-00177;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-00178;Execução Fiscal;Instituto Nacional de Energia Renovável;GlobalTech Corp.
P-00179;Trabalhista;Instituto Nacional de Energia Renovável;Maria Oliveira
P-00180;Execução de título extrajudicial;GlobalTech Corp.;Ana Paula Lima
P-00181;Execução de título extrajudicial;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00182;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Maria Oliveira
P-00183;Execução Fiscal;Instituto Nacional de Energia Renovável;Construtora Nova Era Ltda.
P-00184;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00185;Execução de título extrajudicial;Fernanda Costa;Oficina Mecânica do Zé
P-00186;Ações hipotecárias;Ana Paula Lima;Juliana Rocha
P-00187;Execução de alimentos;Oficina Mecânica do Zé;Ricardo Almeida
P-00188;Inventário e partilha;Ricardo Almeida;TechBrasil S.A.
P-00189;Execução Cível;Fernanda Costa;AgroVale Ltda.
P-00190;Execução de alimentos;Construtora Nova Era Ltda.;Fernanda Costa
P-00191;Ações hipotecárias;Construtora Nova Era Ltda.;Pedro Henrique Santos
P-00192;Execução Fiscal;Instituto Nacional de Energia Renovável;Juliana Rocha
P-00193;Execução de alimentos;Juliana Rocha;Oficina Mecânica do Zé
P-00194;Trabalhista;Construtora Nova Era Ltda.;Secretaria de Saúde de Santa Clara
P-00195;Falência e Recuperação Judicial;Estado de Santa Aurora;Oficina Mecânica do Zé
P-00196;Execução Fiscal;Secretaria de Saúde de Santa Clara;Estado de Santa Aurora
P-00197;Execução de alimentos;Prefeitura Municipal de Nova Esperança;GlobalTech Corp.
P-00198;Falência e Recuperação Judicial;Estado de Santa Aurora;Maria Oliveira
P-00199;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-00200;Execução Fiscal;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-00201;Execução de título extrajudicial;Maria Oliveira;Instituto Nacional de Energia Renovável
P-00202;Execução Fiscal;Instituto Nacional de Energia Renovável;Construtora Nova Era Ltda.
P-00203;Busca e apreensão;Oficina Mecânica do Zé;João da Silva
P-00204;Execução de título extrajudicial;João da Silva;Carlos Souza
P-00205;Busca e apreensão;Maria Oliveira;Instituto Nacional de Energia Renovável
P-00206;Busca e apreensão;Fernanda Costa;Oficina Mecânica do Zé
P-00207;Trabalhista;TechBrasil S.A.;TechBrasil S.A.
P-00208;Trabalhista;Pedro Henrique Santos;Ricardo Almeida
P-00209;Execução de título extrajudicial;Estado de Santa Aurora;Secretaria de Saúde de Santa Clara
P-00210;Inventário e partilha;TechBrasil S.A.;João da Silva
P-00211;Busca e apreensão;Carlos Souza;João da Silva
P-00212;Execução de alimentos;Pedro Henrique Santos;AgroVale Ltda.
P-00213;Extinção de condomínio;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-00214;Execução de título extrajudicial;TechBrasil S.A.;Juliana Rocha
P-00215;Inventário e partilha;João da Silva;Ana Paula Lima
P-00216;Trabalhista;Maria Oliveira;Juliana Rocha
P-00217;Trabalhista;Maria Oliveira;TechBrasil S.A.
P-00218;Ações hipotecárias;Juliana Rocha;Juliana Rocha
P-00219;Trabalhista;Fernanda Costa;Pedro Henrique Santos
P-00220;Falência e Recuperação Judicial;Estado de Santa Aurora;TechBrasil S.A.
P-00221;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Pedro Henrique Santos
P-00222;Ações hipotecárias;Fernanda Costa;Construtora Nova Era Ltda.
P-00223;Execução Fiscal;Instituto Nacional de Energia Renovável;Fernanda Costa
P-00224;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-00225;Trabalhista;Construtora Nova Era Ltda.;Construtora Nova Era Ltda.
P-00226;Inventário e partilha;Estado de Santa Aurora;Estado de Santa Aurora
P-00227;Execução Cível;Instituto Nacional de Energia Renovável;Juliana Rocha
P-00228;Execução de alimentos;Estado de Santa Aurora;Pedro Henrique Santos
P-00229;Execução Cível;Juliana Rocha;Construtora Nova Era Ltda.
P-00230;Execução Cível;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-00231;Execução de título extrajudicial;Estado de Santa Aurora;Fernanda Costa
P-00232;Execução de alimentos;Secretaria de Saúde de Santa Clara;Carlos Souza
P-00233;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Ana Paula Lima
P-00234;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Juliana Rocha
P-00235;Execução Cível;Estado de Santa Aurora;Estado de Santa Aurora
P-00236;Trabalhista;Maria Oliveira;TechBrasil S.A.
P-00237;Ações hipotecárias;GlobalTech Corp.;Construtora Nova Era Ltda.
P-00238;Execução Cível;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-00239;Execução de alimentos;Pedro Henrique Santos;Instituto Nacional de Energia Renovável
P-00240;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Pedro Henrique Santos
P-00241;Inventário e partilha;GlobalTech Corp.;Construtora Nova Era Ltda.
P-00242;Inventário e partilha;Juliana Rocha;Ricardo Almeida
P-00243;Execução Fiscal;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-00244;Execução de alimentos;João da Silva;Pedro Henrique Santos
P-00245;Ações hipotecárias;Carlos Souza;Instituto Nacional de Energia Renovável
P-00246;Execução de título extrajudicial;Oficina Mecânica do Zé;Secretaria de Saúde de Santa Clara
P-00247;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Fernanda Costa
P-00248;Extinção de condomínio;AgroVale Ltda.;Instituto Nacional de Energia Renovável
P-00249;Inventário e partilha;Pedro Henrique Santos;Ana Paula Lima
P-00250;Trabalhista;Prefeitura Municipal de Nova Esperança;Ricardo Almeida
P-00251;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;TechBrasil S.A.
P-00252;Execução Fiscal;Instituto Nacional de Energia Renovável;Construtora Nova Era Ltda.
P-00253;Trabalhista;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-00254;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Secretaria de Saúde de Santa Clara
P-00255;Extinção de condomínio;Fernanda Costa;Maria Oliveira
P-00256;Busca e apreensão;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-00257;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Juliana Rocha
P-00258;Inventário e partilha;Secretaria de Saúde de Santa Clara;Fernanda Costa
P-00259;Execução de título extrajudicial;Maria Oliveira;Pedro Henrique Santos
P-00260;Execução de alimentos;João da Silva;GlobalTech Corp.
P-00261;Execução Fiscal;Estado de Santa Aurora;TechBrasil S.A.
P-00262;Execução de alimentos;Carlos Souza;Instituto Nacional de Energia Renovável
P-00263;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Ricardo Almeida
P-00264;Trabalhista;Oficina Mecânica do Zé;GlobalTech Corp.
P-00265;Execução Fiscal;Secretaria de Saúde de Santa Clara;Estado de Santa Aurora
P-00266;Inventário e partilha;GlobalTech Corp.;Carlos Souza
P-00267;Execução Cível;Pedro Henrique Santos;Carlos Souza
P-00268;Execução Cível;Pedro Henrique Santos;Ana Paula Lima
P-00269;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Maria Oliveira
P-00270;Trabalhista;Construtora Nova Era Ltda.;Ana Paula Lima
P-00271;Execução Cível;AgroVale Ltda.;Ricardo Almeida
P-00272;Execução Fiscal;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-00273;Execução de alimentos;Fernanda Costa;Pedro Henrique Santos
P-00274;Execução de alimentos;Maria Oliveira;Maria Oliveira
P-00275;Trabalhista;GlobalTech Corp.;Ricardo Almeida
P-00276;Execução Fiscal;Secretaria de Saúde de Santa Clara;Carlos Souza
P-00277;Trabalhista;Ana Paula Lima;João da Silva
P-00278;Extinção de condomínio;Maria Oliveira;Estado de Santa Aurora
P-00279;Ações hipotecárias;GlobalTech Corp.;Secretaria de Saúde de Santa Clara
P-00280;Execução de título extrajudicial;Ana Paula Lima;Construtora Nova Era Ltda.
P-00281;Busca e apreensão;Estado de Santa Aurora;Juliana Rocha
P-00282;Extinção de condomínio;João da Silva;Ana Paula Lima
P-00283;Execução Cível;Construtora Nova Era Ltda.;Instituto Nacional de Energia Renovável
P-00284;Execução Cível;GlobalTech Corp.;Pedro Henrique Santos
P-00285;Inventário e partilha;Secretaria de Saúde de Santa Clara;Instituto Nacional de Energia Renovável
P-00286;Busca e apreensão;AgroVale Ltda.;Carlos Souza
P-00287;Inventário e partilha;Prefeitura Municipal de Nova Esperança;Oficina Mecânica do Zé
P-00288;Execução Fiscal;Secretaria de Saúde de Santa Clara;TechBrasil S.A.
P-00289;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Ana Paula Lima
P-00290;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;João da Silva
P-00291;Execução Fiscal;Estado de Santa Aurora;Pedro Henrique Santos
P-00292;Trabalhista;Maria Oliveira;Fernanda Costa
P-00293;Extinção de condomínio;TechBrasil S.A.;Estado de Santa Aurora
P-00294;Execução Fiscal;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-00295;Ações hipotecárias;Maria Oliveira;Estado de Santa Aurora
P-00296;Execução de alimentos;Secretaria de Saúde de Santa Clara;Juliana Rocha
P-00297;Execução de alimentos;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-00298;Trabalhista;TechBrasil S.A.;GlobalTech Corp.
P-00299;Busca e apreensão;Carlos Souza;TechBrasil S.A.
P-00300;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Oficina Mecânica do Zé
P-00301;Execução Cível;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-00302;Execução Cível;Fernanda Costa;João da Silva
P-00303;Trabalhista;Maria Oliveira;Fernanda Costa
P-00304;Busca e apreensão;João da Silva;Ricardo Almeida
P-00305;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;TechBrasil S.A.
P-00306;Inventário e partilha;AgroVale Ltda.;Prefeitura Municipal de Nova Esperança
P-00307;Busca e apreensão;João da Silva;Construtora Nova Era Ltda.
P-00308;Execução de alimentos;Estado de Santa Aurora;Estado de Santa Aurora
P-00309;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;João da Silva
P-00310;Execução Fiscal;Instituto Nacional de Energia Renovável;AgroVale Ltda.
P-00311;Execução de alimentos;Oficina Mecânica do Zé;TechBrasil S.A.
P-00312;Execução de título extrajudicial;AgroVale Ltda.;GlobalTech Corp.
P-00313;Busca e apreensão;Ricardo Almeida;AgroVale Ltda.
P-00314;Inventário e partilha;Maria Oliveira;Carlos Souza
P-00315;Execução Cível;Pedro Henrique Santos;Ana Paula Lima
P-00316;Ações hipotecárias;Pedro Henrique Santos;Maria Oliveira
P-00317;Trabalhista;Fernanda Costa;Maria Oliveira
P-00318;Execução de alimentos;Oficina Mecânica do Zé;Maria Oliveira
P-00319;Inventário e partilha;Maria Oliveira;Prefeitura Municipal de Nova Esperança
P-00320;Extinção de condomínio;Instituto Nacional de Energia Renovável;AgroVale Ltda.
P-00321;Trabalhista;GlobalTech Corp.;GlobalTech Corp.
P-00322;Execução de alimentos;TechBrasil S.A.;GlobalTech Corp.
P-00323;Execução Fiscal;Secretaria de Saúde de Santa Clara;TechBrasil S.A.
P-00324;Inventário e partilha;Construtora Nova Era Ltda.;Ana Paula Lima
P-00325;Falência e Recuperação Judicial;Estado de Santa Aurora;Juliana Rocha
P-00326;Execução de título extrajudicial;AgroVale Ltda.;GlobalTech Corp.
P-00327;Inventário e partilha;Ana Paula Lima;Instituto Nacional de Energia Renovável
P-00328;Ações hipotecárias;GlobalTech Corp.;AgroVale Ltda.
P-00329;Execução Fiscal;Estado de Santa Aurora;Construtora Nova Era Ltda.
P-00330;Execução Fiscal;Prefeitura Municipal de Nova Esperança;TechBrasil S.A.
P-00331;Execução Fiscal;Instituto Nacional de Energia Renovável;João da Silva
P-00332;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Estado de Santa Aurora
P-00333;Execução Cível;Oficina Mecânica do Zé;Prefeitura Municipal de Nova Esperança
P-00334;Execução de alimentos;Ricardo Almeida;Secretaria de Saúde de Santa Clara
P-00335;Execução Cível;Ana Paula Lima;GlobalTech Corp.
P-00336;Trabalhista;Pedro Henrique Santos;Prefeitura Municipal de Nova Esperança
P-00337;Execução de título extrajudicial;Maria Oliveira;Ricardo Almeida
P-00338;Inventário e partilha;Oficina Mecânica do Zé;Ricardo Almeida
P-00339;Extinção de condomínio;TechBrasil S.A.;João da Silva
P-00340;Inventário e partilha;Carlos Souza;Carlos Souza
P-00341;Ações hipotecárias;Ricardo Almeida;TechBrasil S.A.
P-00342;Extinção de condomínio;João da Silva;Ricardo Almeida
P-00343;Execução Fiscal;Secretaria de Saúde de Santa Clara;Carlos Souza
P-00344;Busca e apreensão;GlobalTech Corp.;Secretaria de Saúde de Santa Clara
P-00345;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Pedro Henrique Santos
P-00346;Execução de alimentos;Oficina Mecânica do Zé;TechBrasil S.A.
P-00347;Ações hipotecárias;Prefeitura Municipal de Nova Esperança;Ricardo Almeida
P-00348;Busca e apreensão;Estado de Santa Aurora;Ana Paula Lima
P-00349;Inventário e partilha;Ricardo Almeida;Maria Oliveira
P-00350;Trabalhista;Oficina Mecânica do Zé;Carlos Souza
P-00351;Inventário e partilha;TechBrasil S.A.;Ricardo Almeida
P-00352;Extinção de condomínio;Secretaria de Saúde de Santa Clara;Secretaria de Saúde de Santa Clara
P-00353;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Maria Oliveira
P-00354;Execução Cível;Carlos Souza;Prefeitura Municipal de Nova Esperança
